Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
devtools,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.13.6,NA,R (>= 3.0.2),"httr (>= 0.4), utils, tools, methods, memoise (>= 1.0.0),
whisker, digest, rstudioapi (>= 0.2.0), jsonlite, stats, git2r
(>= 0.11.0), withr",NA,"curl (>= 0.9), crayon, testthat (>= 1.0.2), BiocInstaller,
Rcpp (>= 0.10.0), MASS, rmarkdown, knitr, hunspell (>= 2.0),
lintr (>= 0.2.1), bitops, roxygen2 (>= 5.0.0), evaluate,
rversions, covr, gmailr (> 0.7.0)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
DiagrammeR,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.0,NA,R (>= 3.2.0),"dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
dichromat,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.0-0,NA,"R (>= 2.10), stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.4.1
digest,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.6.15,NA,R (>= 2.4.1),NA,NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
dimRed,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.0,NA,"R (>= 3.0.0), methods, DRR",NA,NA,"MASS, Matrix, RANN, RSpectra, Rtsne, coRanking, diffusionMap,
energy, fastICA, ggplot2, graphics, igraph, kernlab, lle, loe,
optimx, pcaPP, rgl, scales, scatterplot3d, stats, testthat,
tidyr, vegan",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.3
diptest,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.75-7,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
doAzureParallel,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.6.2,NA,"foreach (>= 1.4.3),
iterators (>= 1.0.8)","rAzureBatch (>= 0.5.3),
jsonlite,
rjson,
xml2,
R6",NA,"testthat,
caret,
plyr,
lintr",NA,MIT + file LICENSE,NA,NA,NA,NA,NA,3.4.3
doParallel,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.11,NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart","compiler, RUnit",GPL-2,NA,NA,NA,NA,no,3.4.3
downloader,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4,NA,NA,"utils, digest",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.4.3
dplyr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7.4,NA,R (>= 3.1.2),"assertthat, bindrcpp (>= 0.2), glue (>= 1.1.1), magrittr,
methods, pkgconfig, rlang (>= 0.1.2), R6, Rcpp (>= 0.12.7),
tibble (>= 1.3.1), utils","Rcpp (>= 0.12.0), BH (>= 1.58.0-1), bindrcpp, plogr","bit64, covr, dbplyr, dtplyr, DBI, ggplot2, hms, knitr, Lahman
(>= 3.0-1), mgcv, microbenchmark, nycflights13, rmarkdown,
RMySQL, RPostgreSQL, RSQLite, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.3
drake,C:/Users/mmorris/Documents/R/R-3.4.3/library,6.0.0,NA,R (>= 3.3.0),"codetools, digest, dplyr, evaluate, formatR, fs, future,
igraph, magrittr, parallel, pkgconfig, purrr, R6, R.utils,
rlang (>= 0.2.0), stats, storr (>= 1.1.0), stringi, tibble,
tidyselect (>= 0.2.4), utils, withr",NA,"abind, bindr, callr, clustermq, CodeDepends, crayon, DBI,
downloader, future.apply, grDevices, ggplot2, ggraph, knitr,
lubridate, MASS, methods, networkD3, prettycode, RSQLite,
rprojroot, testthat, txtq, rmarkdown, styler, visNetwork,
webshot",NA,GPL-3,NA,NA,NA,NA,no,3.4.4
DRR,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0.3,NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.4.3
DT,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3,NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 0.6), magrittr,
crosstalk",NA,"jsonlite (>= 0.9.16), knitr (>= 1.8), rmarkdown, shiny (>=
0.12.1)",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.4.3
dummies,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.5.6,NA,utils,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.4.1
dunn.test,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3.5,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.4.2
dygraphs,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.1.4,NA,R (>= 3.0),"magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,testthat,"rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)",MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
e1071,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.6-8,NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS",NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
effects,C:/Users/mmorris/Documents/R/R-3.4.3/library,4.0-0,NA,"R (>= 3.2.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
effsize,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7.1,NA,NA,NA,NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.4.3
ellipse,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4.1,NA,"R (>= 2.0.0),graphics,stats",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
emmeans,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.2,NA,R (>= 3.2),"estimability (>= 1.3), ggplot2, graphics, methods, stats,
utils, nlme, coda (>= 0.17), multcomp, plyr, mvtnorm, xtable
(>= 1.8-2)",NA,"bayesplot, car, lattice, mediation, multcompView, ordinal,
pbkrtest (>= 0.4-1), lme4, lmerTest (>= 2.0.32), MASS, rsm,
knitr, rmarkdown, testthat","CARBayes, coxme, gee, geepack, glmmADMB, MCMCglmm, MCMCpack,
nnet, pscl, rstanarm, survival",GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.3
enc,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0,NA,R (>= 3.1),methods,NA,"digest, pillar, readr, rlang, testthat, withr",NA,GPL-3,NA,NA,NA,NA,yes,3.4.4
estimability,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3,NA,stats,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.3
evaluate,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.10.1,NA,R (>= 3.0.2),"methods, stringr (>= 0.6.2)",NA,"testthat, lattice, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
expm,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.999-2,NA,Matrix,methods,NA,"RColorBrewer, sfsmisc, Rmpfr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
expss,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.8.6,NA,"R (>= 3.3.0),","foreign, utils, stats, magrittr (>= 1.5), htmlTable (>=
1.11.0), matrixStats (>= 0.51.0), data.table (>= 1.10),",NA,"DT, htmltools, knitr, repr, ggplot2, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
extrafont,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.17,NA,R (>= 2.15),"extrafontdb, grDevices, utils, Rttf2pt1",NA,fontcm,NA,GPL-2,NA,NA,NA,NA,no,3.4.3
extrafontdb,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0,NA,R (>= 2.14),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.4.1
FactoMineR,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.39,NA,R (>= 3.0.0),"car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils",NA,"missMDA,knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
farff,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0,NA,NA,"BBmisc, checkmate (>= 1.8.0), stringi, readr (>= 1.0.0)",NA,"RWeka, testthat, OpenML",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.4
farver,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0,NA,NA,Rcpp (>= 0.12.15),Rcpp,"testthat,
covr",NA,MIT + file LICENSE,NA,NA,NA,NA,NA,3.4.3
fastmatch,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1-0,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
fBasics,C:/Users/mmorris/Documents/R/R-3.4.3/library,3042.89,NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"akima, RUnit, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
flashClust,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.01-2,NA,R (>= 2.3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.4.1
flexdashboard,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.1,NA,R (>= 3.0.2),"tools, jsonlite, htmltools, knitr (>= 1.13), htmlwidgets (>=
0.6), rmarkdown (>= 1.0), shiny (>= 0.13)",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
flexmix,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.3-14,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4",NA,"actuar, codetools, diptest, ellipse, gclus, glmnet, lme4 (>=
1.0), MASS, mgcv (>= 1.8-0), mlbench, mlogit, multcomp,
mvtnorm, SuppDists, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
FNN,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1,NA,R (>= 2.8.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2.1),NA,NA,NA,NA,yes,3.4.4
forcats,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.0,NA,R (>= 3.1),"magrittr, rlang, tibble",NA,"covr, ggplot2, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.4.3
foreach,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.4.4,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,randomForest,"compiler, doMC, RUnit, doParallel",Apache License (== 2.0),NA,NA,NA,NA,no,3.4.3
foreign,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.8-69,recommended,R (>= 3.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
formatR,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.5,NA,R (>= 3.0.2),NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,3.4.3
formattable,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0.1,NA,R (> 3.0.2),"methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
Formula,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2-2,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.1
fpc,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.1-11,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
mvtnorm, robustbase, kernlab, trimcluster, grDevices, graphics,
methods, stats, utils",NA,"tclust, pdfCluster",NA,GPL,NA,NA,NA,NA,no,3.4.3
fs,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2.6,NA,R (>= 3.1),"methods, Rcpp",Rcpp,"testthat, covr, pillar (>= 1.0.0), crayon, withr",NA,GPL-3,NA,NA,NA,NA,yes,3.4.4
furrr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.0,NA,"R (>= 3.2.0), future (>= 1.6.2)","globals (>= 0.10.3), rlang (>= 0.2.0), purrr (>= 0.2.4)",NA,"listenv (>= 0.6.0), dplyr (>= 0.7.4), testthat",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.4.4
future,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.8.1,NA,NA,"digest, globals (>= 0.11.0), listenv (>= 0.7.0), parallel,
utils",NA,"R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.4.4
gapminder,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.0,NA,R (>= 3.1.0),tibble,NA,"dplyr, ggplot2, testthat",NA,CC0,NA,NA,NA,NA,no,3.4.3
gdata,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.18.0,NA,R (>= 2.3.0),"gtools, stats, methods, utils",NA,RUnit,NA,GPL-2,NA,NA,NA,NA,no,3.4.3
gdtools,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.7,NA,NA,"Rcpp (>= 0.12.12), withr",Rcpp,"htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.4
gender,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.5.1,NA,"R (>= 3.0.0), utils, stats","dplyr (>= 0.4.2), httr (>= 1.0.0), jsonlite (>= 0.9.16)",NA,"genderdata (>= 0.5.0), ggplot2 (>= 1.0.0), knitr (>= 1.11),
testthat (>= 0.10.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
geonames,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.998,NA,R (>= 2.2.0),rjson,NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.4.1
geosphere,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.5-7,NA,R (>= 3.0.0),sp,NA,"methods, raster",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.4.3
GGally,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.3.2,NA,R (>= 3.1),"ggplot2 (>= 2.2.0), grDevices, grid, gtable (>= 0.2.0), plyr
(>= 1.8.3), progress, RColorBrewer, reshape (>= 0.8.5), utils",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat",NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.4.3
gganimate,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.9.9.9999,NA,ggplot2,"stringi,
tweenr,
transformr,
grid,
magick,
rlang,
glue,
sf,
progress,
patchwork,
plyr,
svglite,
scales",NA,"knitr,
rmarkdown,
testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,NA,3.4.3
ggcorrplot,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.1,NA,ggplot2,"reshape2, stats",NA,knitr,NA,GPL-2,NA,NA,NA,NA,no,3.4.3
ggeffects,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3.2,NA,"R (>= 3.2), stats, utils","dplyr (>= 0.7.1), effects (>= 4.0-0), ggplot2 (>= 2.2.1),
magrittr, prediction (>= 0.2.0), purrr, rlang, scales,
sjlabelled (>= 1.0.8), sjmisc (>= 2.7.0), sjstats (>= 0.14.1),
tibble (>= 1.3.3), tidyr (>= 0.7.0), tidyselect",NA,"knitr, MASS, rmarkdown, rstantools",NA,GPL-3,NA,NA,NA,NA,no,3.4.4
ggExtra,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7,NA,R (>= 3.1.0),"colourpicker (>= 0.1), ggplot2 (>= 2.2.0), grid (>= 3.1.3),
gtable (>= 0.2.0), miniUI (>= 0.1.1), shiny (>= 0.13.0),
shinyjs (>= 0.5.2), utils, grDevices",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
ggjoy,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4.0,NA,"R (>= 3.2), ggplot2 (>= 2.2.0), ggridges (>= 0.4.0),",,NA,"covr, gridExtra, ggplot2movies, forcats, knitr, tidyverse,
testthat, vdiffr, viridis",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.4.3
ggmap,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.6.1,NA,"R (>= 2.14.0), ggplot2 (>= 2.0.0)","proto, RgoogleMaps, png, plyr, reshape2, rjson, mapproj, jpeg,
geosphere, digest, scales",NA,"MASS, stringr, hexbin, dplyr",NA,GPL-2,NA,NA,NA,NA,no,3.4.3
ggplot2,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.0.0,NA,R (>= 3.1),"digest,
grid,
gtable (>= 0.1.1),
lazyeval,
MASS,
mgcv,
plyr (>= 1.7.1),
reshape2,
rlang,
scales (>= 0.5.0),
stats,
tibble,
viridisLite,
withr (>= 2.0.0)",NA,"covr,
dplyr,
ggplot2movies,
hexbin,
Hmisc,
lattice,
mapproj,
maps,
maptools,
multcomp,
munsell,
nlme,
testthat (>= 0.11.0),
vdiffr,
quantreg,
knitr,
rgeos,
rpart,
rmarkdown,
sf (>= 0.3-4),
svglite (>= 1.2.0.9001)",sp,GPL-2 | file LICENSE,NA,NA,NA,NA,NA,3.4.3
ggplotify,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0.2,NA,R (>= 3.4.0),"ggplot2, graphics, grDevices, grid, gridGraphics, rvcheck",NA,"colorspace, cowplot, ggimage, knitr, lattice, prettydoc, vcd",NA,Artistic-2.0,NA,NA,NA,NA,no,3.4.4
ggrepel,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.7.0,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)",Rcpp,"knitr, rmarkdown, testthat",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.3
ggridges,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4.1,NA,"R (>= 3.2), ggplot2 (>= 2.2.0),","grid (>= 3.0.0), plyr (>= 1.8.0), scales (>= 0.4.1)",NA,"covr, gridExtra, ggplot2movies, forcats, knitr, tidyverse,
testthat, vdiffr, viridis",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.4.3
ggstatsplot,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.0.1,NA,R (>= 3.3.3),"apaTables (>= 2.0.2),
coin (>= 1.2-2),
cowplot,
crayon (>= 1.3.4),
DescTools (>= 0.99.23),
dplyr,
effsize (>= 0.7.1),
ggcorrplot,
ggExtra (>= 0.7),
ggplot2 (>= 2.2.1),
ggrepel (>= 0.7.0),
grid,
gtable,
jmv,
magrittr,
MASS (>= 7.3-47),
rlang (>= 0.2.0),
RVAideMemoire (>= 0.9-69),
sfsmisc (>= 1.1-1),
stats,
tibble,
userfriendlyscience (>= 0.7.0),
WRS2 (>= 0.9-2)",NA,"datasets,
grDevices,
knitr,
rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,NA,3.4.3
ggthemes,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.5.0,NA,"R (>= 3.0.0),","assertthat, colorspace, ggplot2 (>= 2.2.0), graphics, grid,
methods, scales",NA,"spelling, dplyr, extrafont, knitr, lintr, maps, mapproj,
pander, purrr, rmarkdown, testthat, tibble, tidyr",NA,GPL-2,NA,NA,NA,NA,no,3.4.4
gh,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0.1,NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.4
git2r,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.21.0,NA,"R (>= 3.1), methods","graphics, utils",NA,getPass,NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
glmmTMB,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0,NA,NA,"methods, TMB (>= 1.7.6), lme4 (>= 1.1-10), Matrix, nlme","TMB, RcppEigen","knitr, testthat, MASS, lattice, ggplot2, mlmRev, bbmle (>=
1.0.19), pscl, MCMCpack, coda, reshape2",NA,AGPL-3,NA,NA,NA,NA,yes,3.4.4
glmnet,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.0-13,NA,"Matrix (>= 1.0-6), utils, foreach",methods,NA,"survival, knitr, lars",NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
globals,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.12.1,NA,R (>= 3.1.2),codetools,NA,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.4.4
glue,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.2.0,NA,R (>= 3.1),methods,NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.3
gmodels,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.16.2,NA,R (>= 1.9.0),"MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,GPL-2,NA,NA,NA,NA,no,3.4.4
gnm,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.0-8,NA,R (>= 2.3.0),"MASS, stats, graphics, Matrix, nnet, qvcalc (>= 0.8-3), relimp",NA,vcdExtra,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.3
gower,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1.2,NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,yes,3.4.3
GPArotation,C:/Users/mmorris/Documents/R/R-3.4.3/library,2014.11-1,NA,R (>= 2.0.0),NA,NA,NA,NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.4.1
graphics,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,grDevices,NA,NA,NA,Part of R 3.4.3,NA,NA,NA,NA,yes,3.4.3
grDevices,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,NA,NA,KernSmooth,NA,Part of R 3.4.3,NA,NA,NA,NA,yes,3.4.3
grid,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.4.3,base,NA,"grDevices, utils",NA,lattice,NA,Part of R 3.4.3,NA,NA,NA,NA,yes,3.4.3
gridBase,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4-7,NA,R (>= 2.3.0),"graphics, grid",NA,lattice,NA,GPL,NA,NA,NA,NA,no,3.4.3
gridExtra,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.3
gridGraphics,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.3-0,NA,"grid, graphics",grDevices,NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.4
gsl,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.9-10.3,NA,R (>= 2.10.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
gss,C:/Users/mmorris/Documents/R/R-3.4.3/library,2.1-7,NA,"R (>= 2.14.0), stats",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
gtable,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0,NA,R (>= 2.14),grid,NA,"testthat, covr",NA,GPL-2,NA,NA,NA,NA,no,3.4.3
gtools,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.5.0,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
h2o,C:/Users/mmorris/Documents/R/R-3.4.3/library,3.16.0.2,NA,"R (>= 2.13.0), methods, stats","graphics, tools, utils, RCurl, jsonlite",NA,"ggplot2, mlbench, Matrix, slam, bit64 (>= 0.9.7), data.table
(>= 1.9.8)",NA,Apache License (== 2.0),NA,NA,NA,NA,no,3.4.3
haven,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.1.2,NA,R (>= 3.1),"forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble",Rcpp,"covr, fs, knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.4
here,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.1,NA,NA,rprojroot (>= 1.2),NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.4.4
hexbin,C:/Users/mmorris/Documents/R/R-3.4.3/library,1.27.2,NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,GPL-2,NA,NA,NA,NA,yes,3.4.3
highr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.6,NA,R (>= 3.0.2),NA,NA,"knitr, testit",NA,GPL,NA,NA,NA,NA,no,3.4.3
Hmisc,C:/Users/mmorris/Documents/R/R-3.4.3/library,4.1-1,NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6)",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.3
hms,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.4.2,NA,NA,"methods, pkgconfig, rlang",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.4.4
hoardr,C:/Users/mmorris/Documents/R/R-3.4.3/library,0.2.0,NA,NA,"R6 (>= 2.2.0), rappdirs (>= 0.3.1), digest",NA,"roxygen2 (>= 6.0.1), testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.3
